Setting name,Date Resolved,County,Date Reported,Total cases,Total deaths,fips
The Lodge at Greeley (23R710): September 2021,2021-10-19,Weld,2021-09-21,5,0,8123
Broadview Health and Rehabilitation Center LLC (020321): September 2021,2021-10-18,Weld,2021-09-22,4,2,8123
Firestone Charter Academy ,2022-03-07,Weld,2021-09-30,102,0,8123
Ashley Manor - Evans 2 (2303J4): October 2021,2021-12-07,Weld,2021-10-05,11,2,8123
Weld County Justice Services - Alternative Programs,2021-11-06,Weld,2021-10-07,8,0,8123
Coal Ridge Middle School,2022-04-04,Weld,2021-10-08,89,0,8123
The Children's Courtyard of Frederick,2021-11-21,Weld,2021-10-08,7,0,8123
Valley High School: September 2021,2022-02-25,Weld,2021-10-08,69,0,8123
Windsong at Northridge (23K987): October 2021,2021-11-02,Weld,2021-10-11,4,0,8123
Gray Cara (230333): October 2021,2021-11-09,Weld,2021-10-15,9,1,8123
"Fairacres Manor, Inc. (020369): October 2021",2021-12-10,Weld,2021-10-19,9,0,8123
Bridge Assisted Living At Life Care Ctr Of Greeley (23036H): October 2021,2021-11-11,Weld,2021-10-20,43,3,8123
"The Center at Centerplace, LLC (02Z779): October 2021",2021-11-25,Weld,2021-10-20,18,4,8123
John Evans Early Head Start Center: October 2021,2021-12-15,Weld,2021-10-21,6,0,8123
MeadowView of Greeley (23N615): October 2021,2021-11-04,Weld,2021-10-21,3,0,8123
SIGNIA Call Center - Greeley,2021-11-06,Weld,2021-10-21,5,0,8123
Weld Central Middle School,2022-03-19,Weld,2021-10-22,44,0,8123
JBS Greeley Beef Plant: October 2021,2022-04-22,Weld,2021-10-25,208,1,8123
Ashley Manor - Ft Lupton 2 (2303VR): October 2021,2021-12-09,Weld,2021-10-26,2,0,8123
Columbine Commons Assisted Living (23R659): October 2021,2022-02-25,Weld,2021-10-26,34,3,8123
Weld County Jail: October 2021,2022-04-10,Weld,2021-10-26,141,0,8123
Columbine Commons Health and Rehab LLC (02L578): October 2021,2021-11-15,Weld,2021-10-27,8,3,8123
Kid City USA - Greeley,2021-11-23,Weld,2021-11-01,13,0,8123
Garden Square of Greeley (2303DK): November 2021,2021-12-28,Weld,2021-11-08,5,0,8123
"E-Z Excavating, Inc. ",2021-11-18,Weld,2021-11-09,13,0,8123
Stephen's Farm at Adeo Colorado (23A930): November 2021,2021-11-26,Weld,2021-11-09,3,0,8123
"Five Rivers Cattle Feeding, LLC. - Kuner Feedlot",2021-12-15,Weld,2021-11-10,8,0,8123
The Goddard School of Erie: November 2021,2021-12-06,Weld,2021-11-17,5,0,8123
Greeley Central High School: September 2021,2022-03-25,Weld,2021-11-19,246,0,8123
Grace Pointe Continuing Care Senior Campus Assisted Living (23T749): November 2021,2021-11-30,Weld,2021-11-22,2,0,8123
Lochbuie Elementary School,2022-03-12,Weld,2021-11-22,38,0,8123
"Elementum 3D, Inc. ",2021-12-08,Weld,2021-11-23,12,0,8123
Windish RV - Longmont,2021-12-14,Weld,2021-11-24,7,0,8123
Broadview Health and Rehabilitation Center LLC (020321): November 2021,2022-02-26,Weld,2021-11-29,18,0,8123
Kinnick Center RTF (2303FH): December 2021,2021-12-15,Weld,2021-11-30,3,0,8123
Grace Pointe Continuing Care Senior Campus - Skilled Nursing (02D975): November 2021,2021-12-10,Weld,2021-12-03,2,0,8123
Pelican Pointe Health & Rehabilitation Center (020332): December 2021,2022-03-14,Weld,2021-12-07,66,0,8123
Guadalupe Community Center & Cold Weather Shelter,2022-03-22,Weld,2021-12-09,20,0,8123
Windsong at Northridge (23K987): November 2021,2021-11-30,Weld,2021-12-09,6,3,8123
The Lodge at Greeley (23R710): December 2021,2021-12-21,Weld,2021-12-13,3,0,8123
MeadowView of Greeley (23N615): December 2021,2022-03-08,Weld,2021-12-14,32,0,8123
AIMS Early Childhood Center,2022-03-06,Weld,2021-12-22,30,0,8123
Owens- Illinois: November 2021,2022-04-05,Weld,2021-12-22,52,1,8123
Grace Pointe Continuing Care Senior Campus Assisted Living (23T749): December 2021,2022-03-21,Weld,2021-12-27,42,1,8123
Sun Mountain Custom Doors: November 2021,2022-02-21,Weld,2021-12-27,19,1,8123
University of Northern Colorado Men's Basketball Team: October 2021,2021-11-22,Weld,2021-12-27,5,0,8123
Good Samaritan Society - Bonell Community (020356): December 2021,2022-03-01,Weld,2022-01-03,57,0,8123
Bright Assisted Living Corp (2303QB),2022-02-23,Weld,2022-01-04,7,0,8123
Columbine Commons Health and Rehab LLC (02L578): December 2021,2022-03-07,Weld,2022-01-04,33,0,8123
Greeley Village LLC (23Q715): December 2021,2022-02-23,Weld,2022-01-04,11,0,8123
Windsong at Northridge (23K987): December 2021,2022-02-22,Weld,2022-01-04,50,0,8123
Alternative Homes for Youth: December 2021,2022-02-09,Weld,2022-01-05,11,0,8123
Westlake Lodge Health and Rehabilitation Center (020317): December 2021,2022-03-03,Weld,2022-01-05,24,0,8123
Bridge Assisted Living At Life Care Ctr Of Greeley (23036H): January 2022,2022-04-12,Weld,2022-01-10,23,0,8123
Good Samaritan Society Water Valley Sr Lvg Resort (23V721): January 2022,2022-03-09,Weld,2022-01-10,17,0,8123
"The Center at Centerplace, LLC (02Z779): January 2022",2022-02-24,Weld,2022-01-10,21,0,8123
Intervention Community Corrections Services - Weld: December 2021,2022-02-28,Weld,2022-01-11,29,0,8123
Life Care Center of Greeley (0203TL): January 2022,2022-03-07,Weld,2022-01-11,25,0,8123
Stephen's Farm at Adeo Colorado (23A930): January 2022,2022-02-24,Weld,2022-01-11,10,0,8123
Ashley Manor - Evans 2 (2303J4): January 2022,2022-02-07,Weld,2022-01-12,3,0,8123
Garden Square of Greeley (2303DK): January 2022,2022-03-11,Weld,2022-01-12,21,1,8123
Maxwell Center Assisted Living Residence (23V723): January 2022,2022-02-28,Weld,2022-01-12,8,0,8123
"Salveo Medical Care, Inc. - BrightStar Care",2022-03-05,Weld,2022-01-12,12,0,8123
Garden Square at Westlake (2303C0): January 2022,2022-03-04,Weld,2022-01-13,7,0,8123
Platteville Elementary School,2022-02-21,Weld,2022-01-13,13,0,8123
Kinnick Center RTF (2303FH): January 2022,2022-03-02,Weld,2022-01-17,8,0,8123
Grace Pointe Continuing Care Senior Campus - Skilled Nursing (02D975): January 2022,2022-02-16,Weld,2022-01-18,30,0,8123
Bonell Good Samaritan Center (230327): January 2022,2022-02-14,Weld,2022-01-20,4,0,8123
"Fairacres Manor, Inc. (020369): January 2022",2022-03-03,Weld,2022-01-20,48,0,8123
Scott Elementary School,2022-03-31,Weld,2022-01-21,43,0,8123
The Lodge at Greeley (23R710): January 2022,2022-04-14,Weld,2022-01-21,26,0,8123
Meeker Elementary School - Greeley,2022-04-03,Weld,2022-01-24,45,0,8123
North Range Behavioral Health Crisis Response Team,2022-02-05,Weld,2022-01-24,6,0,8123
Vestas Blades America - Windsor: January 2022,2022-03-23,Weld,2022-01-24,34,0,8123
North Range Behavioral Health Crisis Stabilization Services,2022-02-25,Weld,2022-01-25,8,0,8123
Safeway #1828,2022-03-12,Weld,2022-01-25,9,0,8123
Brookdale Greeley (2303B5): January 2022,2022-03-02,Weld,2022-01-26,10,0,8123
