Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Blanco County Road & Bridge,Resolved,3/4/2021,Municipal/Local Government,,Yes,Rio Blanco,1/19/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande Hospital,Resolved,2/3/2021,Healthcare - Acute Care Hospital,,Yes,Rio Grande,1/4/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande Inn (02I146): April 2021,Resolved,4/20/2021,Healthcare - Skilled Nursing,,Yes,Conejos,4/8/2021,1,1,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande Inn (02I146): December 2020,Resolved,1/22/2021,Healthcare - Skilled Nursing,,Yes,Conejos,1/1/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande Inn (02I146): June 2021,Resolved,7/20/2021,Healthcare - Skilled Nursing,,Yes,Conejos,6/2/2021,30,11,,7,,,41,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande Mexican Restaurant - Fort Collins,Resolved,3/30/2021,Restaurant - Sit Down,,,Larimer,2/17/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Grande Mexican Restaurant - Lone Tree,Resolved,12/16/2020,Restaurant - Sit Down,,,Douglas,10/28/2020,,8,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rising Star Early Learning Center ,Resolved,12/16/2020,Child Care Center,,Yes,Arapahoe,11/18/2020,,6,4,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivendell School of Northern Colorado,Resolved,5/6/2021,School K-12,,Yes,Larimer,4/19/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Blue,Resolved,12/28/2020,Retailer,,,Routt,11/9/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Run Construction Site,Resolved,7/21/2020,Construction Site,,Yes,Grand,6/23/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Run Rental Operations,Resolved,12/3/2020,Hotel/Lodge/Resort,,,Summit,11/7/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Valley Inn (02Z787): April 2021,Resolved,5/17/2021,Healthcare - Skilled Nursing,,Yes,Rio Grande,4/19/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Valley Inn (02Z787): November 2020,Resolved,12/31/2020,Healthcare - Skilled Nursing,,Yes,Rio Grande,11/30/2020,9,10,,,,,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Rehab and Care Community (020312): April 2021,Resolved,5/24/2021,Healthcare - Skilled Nursing,,Yes,Adams,5/3/2021,2,4,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Rehab and Care Community (020312): July 2020,Resolved,8/10/2020,Healthcare - Skilled Nursing,,Yes,Adams,7/20/2020,2,4,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Rehab and Care Community (020312): March 2021,Resolved,4/12/2021,Healthcare - Skilled Nursing,,Yes,Adams,3/30/2021,2,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Rehab and Care Community (020312): November 2020,Resolved,1/22/2021,Healthcare - Skilled Nursing,,Yes,Adams,11/3/2020,83,65,,16,,,148,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Ridge High School: April 2021,Resolved,5/20/2021,School K-12,,Yes,Adams,5/19/2021,,1,4,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Ridge High School: November 2020,Resolved,3/4/2021,School K-12,,Yes,Adams,11/3/2020,,2,4,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivergate Pharmacy,Resolved,12/27/2020,Healthcare - Outpatient,Pharmacy,Yes,La Plata,12/1/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverhouse Children's Center,Resolved,4/30/2021,Child Care Center,,Yes,La Plata,4/9/2021,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiverPointe Senior Living,Resolved,5/28/2020,Healthcare - Independent Living Facility,,Yes,Arapahoe,3/26/2020,3,3,,1,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside Bar and Grill,Resolved,5/28/2021,Bar/Tavern/Brewery,,,Pueblo,4/29/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RMB Products, Inc",Resolved,12/29/2020,Materials Supplier,Manufacturing Company,,El Paso,11/2/2020,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMK Electric,Resolved,9/28/2020,Construction Company/Contractor,Electrical Contractor ,,Arapahoe,9/4/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMT Overland,Resolved,3/15/2021,Non-Food Manufacturer/Warehouse,,,Larimer,2/16/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Fork Club,Resolved,11/20/2020,Construction Site,Recreation/Club,Yes,Pitkin,10/29/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROCCOR, LLC",Resolved,11/18/2020,Office/Indoor Workspace,,,Colorado,10/22/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Canyon High School: February 2021,Resolved,3/9/2021,School K-12,,Yes,Douglas,2/6/2021,,,7,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Canyon High School: March 2021,Resolved,5/22/2021,School K-12,,Yes,Douglas,4/8/2021,,,52,,,,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Canyon High School: November 2020,Resolved,12/19/2020,School K-12,,Yes,Douglas,11/17/2020,,,23,,,,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Canyon Respiratory and Rehabilitation Center (020699): April 2021,Resolved,6/2/2021,Healthcare - Skilled Nursing,,Yes,Pueblo,4/14/2021,1,3,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Canyon Respiratory and Rehabilitation Center (020699): October 2020,Resolved,1/19/2021,Healthcare - Skilled Nursing,,Yes,Pueblo,10/20/2020,76,55,,13,,,131,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Family Church: August 2020,Resolved,9/8/2020,Religious Facility,,,El Paso,8/13/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Family Church: October 2020,Resolved,11/4/2020,Religious Facility,,,El Paso,10/16/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Ridge Elementary School,Resolved,3/12/2021,School K-12,,Yes,Douglas,2/9/2021,,1,7,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockrimmon Christian Preschool,Resolved,5/26/2021,School K-12,,Yes,El Paso,4/26/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RockSol Consulting Group, Inc. ",Resolved,9/2/2020,Office/Indoor Workspace,,,Mesa,8/4/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Ford Junior/Senior High School,Resolved,6/13/2021,School K-12,,Yes,Otero,5/4/2021,,3,6,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Heights Middle School: March 2021,Resolved,6/1/2021,School K-12,,Yes,Douglas,3/31/2021,,,26,,,,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Heights Middle School: November 2020,Resolved,12/15/2020,School K-12,,Yes,Douglas,11/24/2020,,1,2,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Assisted Living - 44th Ave (23C959) ,Resolved,12/15/2020,Healthcare - Assisted Living,,Yes,Jefferson,12/2/2020,6,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Assisted Living - Milwaukee (23W277),Resolved,1/12/2021,Healthcare - Assisted Living,,Yes,Arapahoe,11/13/2020,8,3,,1,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Bakehouse,Resolved,7/14/2020,Food Manufacturing/Packaging,,Yes,Arapahoe,4/24/2020,,8,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Behavioral Health: January 2021,Resolved,2/24/2021,Healthcare - Outpatient,Behavioral Health Center,,Fremont,2/1/2021,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Behavioral Health: October 2020,Resolved,11/16/2020,Healthcare - Outpatient,Behavioral Health Center,,Fremont,10/7/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Bow Strings,Resolved,9/14/2020,Retailer,,,Rio Blanco,8/20/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Cancer Center- Colorado Springs,Resolved,1/6/2021,Healthcare - Outpatient,Oncology Clinic,Yes,El Paso,12/14/2020,,8,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Cancer Center- Lakewood,Resolved,1/19/2021,Healthcare - Outpatient,Oncology Clinic,Yes,Jefferson,11/30/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Children's Discovery Center,Resolved,12/14/2020,Child Care Center,,Yes,Fremont,11/17/2020,,2,1,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Chocolate Factory HQ,Resolved,1/11/2021,Food Manufacturing/Packaging,,Yes,La Plata,12/18/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Classical Academy: March 2021,Resolved,6/21/2021,School K-12,,Yes,El Paso,3/18/2021,,1,20,,,,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Classical Academy: November 2020,Resolved,12/15/2020,School K-12,,Yes,El Paso,11/16/2020,,,6,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Elementary,Resolved,6/7/2021,School K-12,,Yes,Mesa,4/21/2021,,,9,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Eye Center,Resolved,3/23/2021,Healthcare - Outpatient,Eye Care Center,,Pueblo,3/22/2021,,13,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Gutters,Resolved,6/23/2020,Home Maintenance Services,Gutter Service,,Garfield,6/3/2020,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain High School,Resolved,6/25/2021,School K-12,,Yes,Larimer,11/5/2020,,10,109,,,,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Instrument Co,Resolved,1/19/2021,Non-Food Manufacturer/Warehouse,,,Boulder,12/23/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Internal Medicine,Resolved,11/6/2020,Healthcare - Outpatient,Medical Office,,Arapahoe,10/15/2020,,8,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Lutheran High School,Resolved,3/16/2021,School K-12,,Yes,Adams,2/11/2021,,2,12,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Metal Container- 32nd Ave Facility,Resolved,12/25/2020,Non-Food Manufacturer/Warehouse,,,Jefferson,11/17/2020,,17,,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Metal Container- McIntyre Facility: April 2021,Resolved,5/21/2021,Non-Food Manufacturer/Warehouse,,,Jefferson,4/27/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Metal Container- McIntyre Facility: January 2021,Resolved,2/10/2021,Non-Food Manufacturer/Warehouse,,,Jefferson,1/11/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain MS Center,Resolved,11/26/2020,Healthcare - Outpatient,,,Adams,11/19/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Natural Meats: April 2020,Resolved,6/3/2020,Meat Processing/Packaging,Meat Processing Plant,Yes,Adams,4/13/2020,,18,,,,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Natural Meats: December 2020,Resolved,1/14/2021,Meat Processing/Packaging,,Yes,Adams,12/2/2020,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Pediatric Surgery,Resolved,1/5/2021,Healthcare - Ambulatory Surgery Center,,,Denver,12/1/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Plumbing and Hydroheat,Resolved,1/11/2021,Home Maintenance Services,Home Repair Service,,Larimer,12/21/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Prep Creekside,Resolved,11/20/2020,School K-12,,Yes,Denver,10/27/2020,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Prep Southwest: April 2021,Resolved,6/18/2021,School K-12,,Yes,Denver,4/16/2021,,1,10,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Prep Southwest: January 2021,Resolved,2/17/2021,School K-12,,Yes,Denver,2/1/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Prep Southwest: September 2020,Resolved,11/6/2020,School K-12,,Yes,Denver,9/22/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Reagents,Resolved,12/21/2020,Materials Supplier,Manufacturer,,Jefferson,11/13/2020,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rocky Mountain Rehabilitation, Physical Therapy",Resolved,11/12/2020,Healthcare - Outpatient,Physical Therapy Center,,El Paso,10/15/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rocky Mountain Roller Hockey League, Inc",Resolved,4/13/2021,Adult Sports Club/Team,,,Jefferson,3/23/2021,,,6,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain School of Expeditionary Learning,Resolved,6/8/2021,School K-12,,Yes,Denver,4/9/2021,,2,7,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain SER Head Start,Resolved,12/8/2020,Child Care Center,,Yes,Las Animas,10/29/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Spice Company: June 2020,Resolved,8/4/2020,Food Distribution,Food Product supplier,Yes,Denver,7/13/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Spice Company: October 2020,Resolved,1/8/2021,Food Distribution,,Yes,Denver,10/15/2020,,13,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Stone Designs,Resolved,5/29/2021,Materials Supplier,,,Arapahoe,5/18/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Truck Center - Lamar,Resolved,10/31/2020,Other,Auto Repair,,Prowers,10/15/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Wireline Services,Resolved,5/11/2021,Other,Oil Field Industry,,Weld,4/15/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodarte Community Center ,Resolved,12/12/2020,Youth Sports/Activities,Fitness/ Rec Facility/ After-School Program,,Weld,11/25/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodelle Inc,Resolved,5/11/2021,Food Manufacturing/Packaging,,Yes,Larimer,4/20/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodeway Inn and Summit RV Park,Resolved,1/4/2021,Hotel/Lodge/Resort,,,Las Animas,11/24/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodizio Grill Fort Collins,Resolved,8/24/2020,Restaurant - Sit Down,,,Larimer,8/6/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers Elementary School,Resolved,3/4/2021,School K-12,,Yes,El Paso,2/9/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rollins Barber Shop,Resolved,5/22/2021,Personal Services,Barbershop,,Boulder,5/14/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma Restaurant- Windsor,Resolved,3/21/2021,Restaurant - Sit Down,,,Weld,2/24/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rooney Ranch Elementary ,Resolved,12/8/2020,School K-12,,Yes,Jefferson,11/5/2020,,1,2,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt Charter Academy: April 2021,Resolved,5/25/2021,School K-12,,Yes,El Paso,4/23/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt Charter Academy: January 2021,Resolved,2/5/2021,School K-12,,Yes,El Paso,1/12/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosalee's Pizzeria,Resolved,4/8/2021,Restaurant - Sit Down,,,Boulder,3/15/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Surgical Center ,Resolved,12/11/2020,Healthcare - Ambulatory Surgery Center,,,Denver,11/12/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Veterinary Hospital,Resolved,9/3/2020,Other,Veterinary Clinic,,Fremont,8/5/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemark at Mayfair Park (23E998),Resolved,3/11/2021,Healthcare - Assisted Living,,Yes,Denver,11/10/2020,19,16,,2,,,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Dress for Less,Resolved,10/14/2020,Retailer,,,Adams,9/30/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoughRiders: February 2021,Resolved,3/11/2021,Youth Sports/Activities,Ice Hockey sports team 14/15 (Boys),,Boulder,2/11/2021,,1,4,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoughRiders: March 2021,Resolved,4/6/2021,Youth Sports/Activities,Hockey Sports Team 15 (Boys),,Boulder,3/18/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoughRiders: November 2020,Resolved,1/19/2021,Youth Sports/Activities,Ice Hockey Team 16U (women) ,,Boulder,11/25/2020,,,5,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routt County Sheriff's Office,Resolved,6/17/2021,Law Enforcement - Other,,Yes,Routt,5/25/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rowan Community, Inc (020459): April 2020",Resolved,7/1/2020,Healthcare - Skilled Nursing,,Yes,Denver,3/30/2020,19,30,,3,,,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rowan Community, Inc (020459): August 2021",Resolved,8/31/2021,Healthcare - Skilled Nursing,,Yes,Denver,8/17/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowley's Auto Collision Experts Inc.,Resolved,6/1/2021,Other,Auto Repair,,Larimer,5/3/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxy's Market,Resolved,12/13/2020,Grocery Store,,,Pitkin,10/29/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Electrical Services,Resolved,3/9/2021,Construction Company/Contractor,Electric/HVAC/Plant Services,,Pueblo,11/24/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Gorge Rafting & Zipline Tours,Resolved,8/24/2020,Outdoor Entertainment/Rec,"Outdoor recreation, indoor restaurant, on-site staff housing",,Fremont,7/28/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Gorge Route Railroad: April 2021,Resolved,6/14/2021,Outdoor Entertainment/Rec,Restaurant on train,,Fremont,5/10/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Gorge Route Railroad: December 2020,Resolved,1/18/2021,Outdoor Entertainment/Rec,,,Fremont,12/1/2020,,16,,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Vista Veterinary Specialists,Resolved,11/3/2020,Other,Veterinary Clinic,,Larimer,10/19/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD - Public facility (31st st),Resolved,10/28/2020,Other,Public Transportation,Yes,Denver,10/22/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD - Ringsby Ct,Resolved,5/29/2021,Other,Public Transportation,Yes,Denver,10/22/2020,,45,,,,,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD 711 Telephone Info Center,Resolved,1/17/2021,Office/Indoor Workspace,,,Denver,12/22/2020,,17,,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD East Metro Division- Maintenance Department ,Resolved,2/7/2021,Other,Public Transportation,Yes,Arapahoe,12/21/2020,,20,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD East Metro Station- Transportation,Resolved,6/12/2021,Other,Public Transportation,Yes,Arapahoe,12/21/2020,,86,,,,,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Elati Light Rail Maintenance Facility,Resolved,6/4/2021,Other,Public Transportation,Yes,Arapahoe,11/16/2020,,49,,,,,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
