Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County Communication Center Authority,Resolved,3/20/2021,Municipal/Local Government,non-profit Police and Fire/EMS Dispatch Center ,Yes,Adams,12/9/2020,,13,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County Public Works,Resolved,10/27/2020,Municipal/Local Government,,Yes,Adams,10/1/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County Sheriff's Detention Facility,Resolved,7/2/2021,Jail,,Yes,Adams,12/17/2020,248,3,,,,,251,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams State University - Men's Baseball,Resolved,2/12/2021,College/University,,Yes,Alamosa,3/15/2021,,,6,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams State University - Men's Basketball,Resolved,2/15/2021,College/University,,Yes,Alamosa,3/15/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams State University - Spring Football,Resolved,5/14/2021,College/University,,Yes,Alamosa,4/12/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams State University - Women's Basketball,Resolved,3/1/2021,College/University,,Yes,Alamosa,3/15/2021,,,8,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams State University - Wrestling,Resolved,2/26/2021,College/University,,Yes,Alamosa,3/15/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Transitional Center: April 2020,Resolved,6/12/2020,"Correctional, Other",,Yes,Adams,4/27/2020,7,4,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Transitional Center: November 2020,Resolved,12/17/2020,"Correctional, Other",,Yes,Adams,11/9/2020,22,3,,,,,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Youth Services Center,Resolved,11/23/2020,"Correctional, Other",,Yes,Colorado,10/13/2020,3,6,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addenbrooke Classical Academy: April 2021,Resolved,5/26/2021,School K-12,,Yes,Jefferson,4/21/2021,,,5,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addenbrooke Classical Academy: January 2021,Resolved,3/16/2021,School K-12,,Yes,Jefferson,1/29/2021,,4,4,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addenbrooke Classical Academy: November 2020,Resolved,12/15/2020,School K-12,,Yes,Jefferson,12/1/2020,,,2,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolescent Social Gathering- Boulder: April 2021,Resolved,5/22/2021,Social Gathering,,,Boulder,5/18/2021,,,5,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
