Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Allison Care Center (020406): April 2020,2020-08-03,Healthcare - Nursing Facility,,Jefferson,2020-04-17,46,14,,11,,,60,11,,,,,,,
Solange at Appletree Assisted Living (230510),2020-06-25,Healthcare - Assisted Living,,El Paso,2020-04-17,2,3,,,,,5,0,,,,,,,
Suites at Clermont Park Care Center (020454): April 2020,2020-05-27,Healthcare - Nursing Facility,,Denver,2020-04-17,13,10,,2,,,23,2,,,,,,,
Forest Street Compassionate Care Center (02H516): April 2020,2020-07-27,Healthcare - Nursing Facility,,Denver,2020-04-18,36,19,,10,,,55,10,,,,,,,
Lemay Avenue Health & Rehabilitation (020326): April 2020,2020-06-02,Healthcare - Nursing Facility,,Larimer,2020-04-20,10,11,,1,,,21,1,,,,,,,
Meadow Hills Makarios Assisted Living (23C491): April 2020,2020-05-15,Healthcare - Assisted Living,,Arapahoe,2020-04-20,2,1,,,,,3,0,,,,,,,
New Genesis Transitional Living Shelter: April 2020,2020-10-22,Homeless Shelter,,Denver,2020-04-20,41,3,,1,,,44,1,,,,,,,
Arapahoe Community Treatment Center: April 2020,2020-06-05,"Correctional, Other",,Arapahoe,2020-04-21,9,2,,,,,11,0,,,,,,,
Brown Dog Pizza,2020-05-21,Restaurant - Sit Down,,San Miguel,2020-04-21,,4,,,,,4,0,,,,,,,
Pikes Peak Center (02B942): April 2020,2020-09-15,Healthcare - Nursing Facility,,El Paso,2020-04-21,93,51,,27,,,144,27,,,,,,,
Prairie Dog Treats/Antlers,2020-05-28,Food Manufacturing/Packaging,,Montrose,2020-04-21,,11,,,,,11,0,,,,,,,
St Paul Health Center (020448): April 2020,2020-06-08,Healthcare - Nursing Facility,,Denver,2020-04-21,8,10,,1,,,18,1,,,,,,,
Sunrise at Flatirons (23R708): April 2020,2020-07-31,Healthcare - Assisted Living,,Broomfield,2020-04-21,18,12,,12,,,30,12,,,,,,,
Sunrise at Orchard (2304NM): April 2020,2020-07-22,Healthcare - Assisted Living,,Arapahoe,2020-04-21,32,33,,8,,,65,8,,,,,,,
Weld County Work Release Program,2020-06-08,"Correctional, Other",,Weld,2020-04-21,16,7,,,,,23,0,,,,,,,
West Elk Mine: April 2020,2020-06-01,Other,Mine,Gunnison,2020-04-21,,15,,,,,15,0,,,,,,,
Briarwood Health Care Center (020470): April 2020,2020-07-02,Healthcare - Nursing Facility,,Denver,2020-04-22,20,26,,7,,,46,7,,,,,,,
Castle Rock Care Center (020591): April 2020,2020-06-25,Healthcare - Nursing Facility,,Douglas,2020-04-22,10,8,,2,,,18,2,,,,,,,
Ellin Mrachek House (05B951),2020-05-07,Healthcare - RCFDD Group home,,Adams,2020-04-22,2,,,1,,,2,1,,,,,,,
Garden Terrace Alzheimer's Center Of Excellence (020469): April 2020,2020-06-19,Healthcare - Nursing Facility,,Arapahoe,2020-04-22,47,21,,10,,,68,10,,,,,,,
MorningStar at Ridgegate (23X760): April 2020,2020-06-09,Healthcare - Assisted Living,,Douglas,2020-04-22,29,8,,8,,,37,8,,,,,,,
Empire Meats Denver Processing,2020-05-10,Meat Processing/Packaging,Meat Processing,Denver,2020-04-23,,20,,,,,20,0,,,,,,,
Walmart #1492,2020-06-09,Retailer,,Arapahoe,2020-04-23,,18,,,2,,18,2,,,,,,,
Abundant Blessings and Care Assist Living- Geddes Ave (23O624),2020-05-14,Healthcare - Assisted Living,,Arapahoe,2020-04-24,5,2,,2,,,7,2,,,,,,,
Broomfield Skilled Nursing & Rehab Center (02R989): April 2020,2020-07-31,Healthcare - Nursing Facility,,Broomfield,2020-04-24,50,34,,17,,,84,17,,,,,,,
Co Premium,2020-06-04,Meat Processing/Packaging,Meat Packing Plant,Denver,2020-04-24,,15,,,,,15,0,,,,,,,
Harmony Pointe Nursing Center (020425): April 2020,2020-06-09,Healthcare - Nursing Facility,,Jefferson,2020-04-24,3,12,,1,,,15,1,,,,,,,
HighPointe Assisted Living & Memory Care (23M205): April 2020,2020-07-02,Healthcare - Assisted Living,,Denver,2020-04-24,18,6,,1,,,24,1,,,,,,,
Leprino Foods - Fort Morgan: April 2020,2020-06-06,Food Manufacturing/Packaging,,Morgan,2020-04-24,,86,,,1,,86,1,,,,,,,
Leprino Foods - Greeley: April 2020,2020-07-23,Food Manufacturing/Packaging,,Weld,2020-04-24,,21,,,,,21,0,,,,,,,
Rocky Mountain Bakehouse,2020-07-14,Food Manufacturing/Packaging,,Arapahoe,2020-04-24,,8,,,,,8,0,,,,,,,
Life Care Center of Aurora (0204F6): April 2020,2020-06-17,Healthcare - Nursing Facility,,Arapahoe,2020-04-25,62,23,,12,,,85,12,,,,,,,
The Rehabilitation Center at Sandalwood (020465): April 2020,2020-07-23,Healthcare - Nursing Facility,,Jefferson,2020-04-26,18,24,,,,,42,0,,,,,,,
Adams Transitional Center: April 2020,2020-06-12,"Correctional, Other",,Adams,2020-04-27,7,4,,,,,11,0,,,,,,,
Arbors of San Marino (2304MO): April 2020,2020-05-19,Healthcare - Assisted Living,,Adams,2020-04-27,5,1,,4,,,6,4,,,,,,,
Aurora Evergreen Assisted Living LLC (23U630): April 2020,2020-06-04,Healthcare - Assisted Living,,Arapahoe,2020-04-27,3,,,,,,3,0,,,,,,,
Custom Made Meals: April 2020,2020-06-29,Food Manufacturing/Packaging,,Adams,2020-04-27,,27,,,,,27,0,,,,,,,
King Soopers Bakery: April 2020,2020-05-27,Food Manufacturing/Packaging,,Denver,2020-04-27,,34,,,1,,34,1,,,,,,,
Advanced Health Care of Aurora (02D982): April 2020,2020-06-03,Healthcare - Nursing Facility,,Arapahoe,2020-04-28,9,8,,,,,17,0,,,,,,,
Ash House (05K174): April 2020,2020-06-08,Healthcare - RCFDD Group home,,Arapahoe,2020-04-28,3,,,,,,3,0,,,,,,,
City Market- Breckenridge #430,2020-06-09,Grocery Store,,Summit,2020-04-28,,19,,,,,19,0,,,,,,,
Douglas County Jail: April 2020,2020-06-10,Jail,,Douglas,2020-04-28,12,,,,,,12,0,,,,,,,
Montage Hills (2304X1): April 2020,2020-06-17,Healthcare - Assisted Living,,Arapahoe,2020-04-28,5,8,,1,,,13,1,,,,,,,
