Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Del Monte,2020-06-26,Food Manufacturing/Packaging,,Adams,2020-05-07,,46,,,,,46,0,,,,,,,
DPI Speciality Foods,2020-08-26,Food Distribution,Food distributor,Adams,2020-05-07,,15,,,2,,15,2,,,,,,,
Ryan and Company Construction,2020-05-22,Construction Company/Contractor,Tile/Construction,Douglas,2020-05-07,,2,,,,,2,0,,,,,,,
The Learning Experience- Westminster: May 2020,2020-06-24,Child Care Center,,Jefferson,2020-05-07,,3,,,,,3,0,,,,,,,
Castle Peak Senior Life and Rehabilitation (02X369): May 2020,2020-06-08,Healthcare - Nursing Facility,,Eagle,2020-05-08,4,3,,1,,,7,1,,,,,,,
Independence House - Pecos: May 2020,2020-08-05,"Correctional, Other",Community correctional facility,Denver,2020-05-08,23,4,,,,,27,0,,,,,,,
Urban Peak: May 2020,2020-08-26,Homeless Shelter,,Denver,2020-05-08,13,,,,,,13,0,,,,,,,
Hospital Cooperative Laundry - Denver,2020-06-07,Other,Hospital Laundry Service,Denver,2020-05-09,,13,,,,,13,0,,,,,,,
Orchard Valley Learning Center: May 2020,2020-06-04,Child Care Center,,Arapahoe,2020-05-09,,3,2,,,,5,0,,,,,,,
Safeway-Albertsons Distribution Center #6530: May 2020,2020-05-22,Food Distribution,,Denver,2020-05-09,,6,,,1,,6,1,,,,,,,
Summit Rehabilitation and Care Community (020407): May 2020,2020-07-28,Healthcare - Nursing Facility,,Arapahoe,2020-05-09,47,26,,15,,,73,15,,,,,,,
Juniper Village - The Spearly Center (020424): May 2020,2020-08-06,Healthcare - Nursing Facility,,Denver,2020-05-10,42,17,,10,,,59,10,,,,,,,
Commerce Transitional Center,2020-06-12,"Correctional, Other",,Adams,2020-05-11,3,1,,,,,4,0,,,,,,,
Green Chef- Hello Fresh,2020-07-08,Food Manufacturing/Packaging,,Arapahoe,2020-05-11,,34,,,1,,34,1,,,,,,,
Kenton Manor (020321): April 2020,2020-07-07,Healthcare - Nursing Facility,,Weld,2020-05-11,25,21,,9,,,46,9,,,,,,,
Kit Carson School Construction Site,2020-06-11,Construction Site,,Cheyenne,2020-05-11,,26,,,,,26,0,,,,,,,
Simply Delicious- Boulder,2020-07-06,Food Manufacturing/Packaging,,Boulder,2020-05-11,,5,,,,,5,0,,,,,,,
"The Center at Centerplace, LLC (02Z779): April 2020",2020-06-01,Healthcare - Nursing Facility,,Weld,2020-05-11,11,23,,4,,,34,4,,,,,,,
Chick-fil-A- 104th & Federal - #00834,2020-06-29,Restaurant - Fast Food,,Adams,2020-05-12,,5,,,,,5,0,,,,,,,
Denver County Jail: May 2020,2020-10-20,Jail,,Denver,2020-05-12,81,4,,,,,85,0,,,,,,,
Epicurean Butter: May 2020,2020-07-01,Food Manufacturing/Packaging,,Adams,2020-05-12,,9,,,,,9,0,,,,,,,
Grace Pointe Continuing Care Senior Campus - Skilled Nursing (02D975): May 2020,2020-06-09,Healthcare - Nursing Facility,,Weld,2020-05-12,5,8,,1,,,13,1,,,,,,,
King Soopers #29,2020-06-25,Grocery Store,,Denver,2020-05-12,,12,,,2,,12,2,,,,,,,
Mi Pueblo Market- Thornton,2020-06-05,Grocery Store,,Adams,2020-05-12,,20,,,,,20,0,,,,,,,
Schommer Construction,2020-05-21,Construction Company/Contractor,,El Paso,2020-05-12,,2,,,,,2,0,,,,,,,
Castle Academy,2020-06-12,Child Care Center,,Douglas,2020-05-13,,2,,,,,2,0,,,,,,,
JBS Corporate: May 2020,2020-05-27,Office/Indoor Workspace,,Weld,2020-05-13,,5,,,1,,5,1,,,,,,,
The Home Depot #1509: May 2020,2021-02-12,Retailer,,Arapahoe,2020-05-13,,47,,,,,47,0,,,,,,,
West Pines-Senior Behavioral Health,2020-06-30,Healthcare - Psychiatric Hospital,,Jefferson,2020-05-13,9,12,,1,,,21,1,,,,,,,
Denver Reception & Diagnostic Center: May 2020,2020-06-10,State Prison,,Colorado,2020-05-14,2,1,,,,,3,0,,,,,,,
H Mart Westminster,2020-06-16,Grocery Store,,Adams,2020-05-14,,9,,,,,9,0,,,,,,,
Mountain King Potatoes: May 2020,2020-06-11,Food Warehouse,,Rio Grande,2020-05-14,,52,,,1,,52,1,,,,,,,
OraLabs,2020-06-29,Non-Food Manufacturer/Warehouse,Manufacturer (Hand Sanitizer),Douglas,2020-05-14,,38,,,,,38,0,,,,,,,
OrePac Building Products,2020-06-15,Materials Supplier,Building materials supplier,Denver,2020-05-14,,18,,,,,18,0,,,,,,,
Pepsi Beverages Company: May 2020,2020-06-03,Food Manufacturing/Packaging,,Denver,2020-05-14,,22,,,1,,22,1,,,,,,,
Anheuser-Busch- Loveland,2020-07-07,Food Distribution,Manufacturing,Larimer,2020-05-15,,11,,,,,11,0,,,,,,,
Arby's,2020-06-09,Restaurant - Fast Food,,Arapahoe,2020-05-15,,2,,,,,2,0,,,,,,,
Chick-Fil-A- Fort Collins - #02346,2020-06-23,Restaurant - Fast Food,,Larimer,2020-05-15,,14,,,,,14,0,,,,,,,
Eben Ezer Assisted Living II (2301H4): May 2020,2020-06-24,Healthcare - Assisted Living,,Morgan,2020-05-15,12,9,,1,,,21,1,,,,,,,
"Go Right PPL, Inc",2020-06-26,Non-Food Manufacturer/Warehouse,,Arapahoe,2020-05-15,,26,,,1,,26,1,,,,,,,
Keesen Landscaping,2020-06-12,Home Maintenance Services,Landscaping Service,Arapahoe,2020-05-15,,12,,,2,,12,2,,,,,,,
Marycrest Assisted Living (2304ST): May 2020,2020-08-05,Healthcare - Assisted Living,,Denver,2020-05-15,11,13,,2,,,24,2,,,,,,,
Peak Gardens Assisted Living - Lakewood (23J545),2020-06-16,Healthcare - Assisted Living,,Jefferson,2020-05-15,6,2,,1,,,8,1,,,,,,,
Steven Roberts Original Desserts,2021-05-16,Food Manufacturing/Packaging,,Adams,2020-05-15,,220,,,1,,220,1,,,,,,,
Columbine Chateau Assisted Living (23D501): May 2020,2020-06-26,Healthcare - Assisted Living,,Pueblo,2020-05-16,18,6,,4,,,24,4,,,,,,,
Lowe's #3206: May 2020,2020-06-09,Retailer,,Summit,2020-05-16,,3,,,,,3,0,,,,,,,
Villagio of Broomfield (23Z321): May 2020,2020-06-30,Healthcare - Assisted Living,,Jefferson,2020-05-16,2,7,,1,,,9,1,,,,,,,
Goodwill- Colorado Springs,2020-06-16,Retailer,,El Paso,2020-05-17,,8,,,,,8,0,,,,,,,
Aspire Behavioral Health: May 2020,2020-06-12,Healthcare - Facility for Developmentally Disabled,,El Paso,2020-05-18,,3,,,,,3,0,,,,,,,
Circle Graphics,2020-07-14,Office/Indoor Workspace,,Boulder,2020-05-18,,10,,,,,10,0,,,,,,,
Izzio Bakery,2020-06-07,Food Manufacturing/Packaging,,Boulder,2020-05-18,,8,,,,,8,0,,,,,,,
Keystone Achievement,2020-07-16,Healthcare - Outpatient,Behavioral Health Center,El Paso,2020-05-18,,4,,,,,4,0,,,,,,,
King Soopers #25,2020-06-04,Grocery Store,,Jefferson,2020-05-18,,4,,,,,4,0,,,,,,,
King Soopers #78,2020-05-13,Grocery Store,,Jefferson,2020-05-18,,4,,,,,4,0,,,,,,,
McDonald's- Colorado Springs (Airport Creek Point),2020-07-27,Restaurant - Fast Food,,El Paso,2020-05-18,,8,,,,,8,0,,,,,,,
Porter Place (2304E7): May 2020,2020-06-23,Healthcare - Assisted Living,,Denver,2020-05-18,20,12,,8,,,32,8,,,,,,,
"Springs Fabrication, LLC: May 2020",2020-07-15,Non-Food Manufacturer/Warehouse,,El Paso,2020-05-18,,4,,,,,4,0,,,,,,,
Walmart #3582: May 2020,2020-11-23,Retailer,,El Paso,2020-05-18,,24,,,,,24,0,,,,,,,
Windigo Logistics,2020-07-20,Non-Food Manufacturer/Warehouse,,El Paso,2020-05-18,,5,,,,,5,0,,,,,,,
ARC Thrift Store- Aurora (Colfax Ave),2020-06-10,Retailer,,Arapahoe,2020-05-19,,2,,,,,2,0,,,,,,,
Crossroads Treatment Centers of Denver,2020-06-05,Healthcare - Alcohol/Drug Abuse Treatment (outpatient),Opioid Treatment Facility,Denver,2020-05-19,,2,,,,,2,0,,,,,,,
Olson's Greenhouse,2020-05-19,Agriculture - Other,,Weld,2020-05-19,,23,,,,,23,0,,,,,,,
Schnell North America Inc,2020-06-17,Materials Supplier,Provides parts and technical assistance for rebar processing machines,Adams,2020-05-19,,2,,,,,2,0,,,,,,,
The Home Depot #1526: May 2020,2020-07-07,Retailer,,Arapahoe,2020-05-19,,8,,,,,8,0,,,,,,,
The Suites Parker (02K186): May 2020,2020-07-25,Healthcare - Nursing Facility,,Douglas,2020-05-19,21,14,,1,,,35,1,,,,,,,
Autumn Heights Health Care Center (020405): May 2020,2020-08-03,Healthcare - Nursing Facility,,Denver,2020-05-20,30,14,,5,,,44,5,,,,,,,
Delaware (06H430): May 2020,2020-06-09,Healthcare - Intermediate Care,,Arapahoe,2020-05-20,4,8,,,,,12,0,,,,,,,
Five Star Residences of Dayton Place (2304D3): May 2020,2020-07-28,Healthcare - Assisted Living,,Arapahoe,2020-05-20,14,11,,3,,,25,3,,,,,,,
Safeway #1792,2020-07-07,Grocery Store,,El Paso,2020-05-20,,4,,,,,4,0,,,,,,,
Samaritan House Denver: May 2020,2020-08-04,Homeless Shelter,,Denver,2020-05-20,3,3,,,,,6,0,,,,,,,
Stevinson Toyota East,2020-06-10,Other,Auto Dealership,Arapahoe,2020-05-20,,5,,,,,5,0,,,,,,,
48 Forty Solutions,2020-06-17,Non-Food Manufacturer/Warehouse,Wood Pallet Manufacturer,Adams,2020-05-21,,6,,,,,6,0,,,,,,,
Cheyenne Mountain Center (020573): May 2020,2020-06-22,Healthcare - Nursing Facility,,El Paso,2020-05-21,2,,,,,,2,0,,,,,,,
Culver's- Greeley,2020-06-17,Restaurant - Fast Food,,Weld,2020-05-21,,4,,,,,4,0,,,,,,,
Eastern Colorado Services for Developmentally Disabled (ECS),2020-07-14,Healthcare - Intermediate Care,,Logan,2020-05-21,3,6,,,,,9,0,,,,,,,
Metco Landscape - Colorado Springs East Branch,2020-07-21,Construction Company/Contractor,Landscaping company,El Paso,2020-05-21,,6,,,,,6,0,,,,,,,
Mi Pueblo Market- Aurora,2020-06-19,Grocery Store,,Adams,2020-05-21,,7,,,,,7,0,,,,,,,
Swire Coca-Cola - 40th Ave,2020-06-09,Food Distribution,Warehouse,Denver,2020-05-21,,10,,,,,10,0,,,,,,,
O'Reilly Auto Parts #2712,2020-06-10,Retailer,,Jefferson,2020-05-22,,3,,,1,,3,1,,,,,,,
Washington County Justice Center: May 2020,2020-07-08,Jail,,Washington,2020-05-22,27,4,,,,,31,0,,,,,,,
Applewood Living Center (020375): May 2020,2020-07-02,Healthcare - Nursing Facility,,Boulder,2020-05-23,5,1,,,,,6,0,,,,,,,
Downstairs at Eric's: May 2020,2020-06-23,Restaurant - Sit Down,,Summit,2020-05-25,,5,,,,,5,0,,,,,,,
Garcia Fence and Supply,2020-08-05,Construction Company/Contractor,Fencing company,El Paso,2020-05-25,,4,,,,,4,0,,,,,,,
Mountain Vista Assisted Living & Memory Care (2304SY): May 2020,2020-07-16,Healthcare - Assisted Living,,Jefferson,2020-05-25,17,7,,4,,,24,4,,,,,,,
Belleview Suites At DTC Assisted Living & Memory (2304VK): May 2020,2020-07-13,Healthcare - Assisted Living,,Denver,2020-05-26,6,11,,1,,,17,1,,,,,,,
McKesson Medical Supply,2020-06-25,Healthcare - Outpatient,Durable Medical Equipment,Denver,2020-05-26,,24,,,,,24,0,,,,,,,
Amazon Den5: May 2020,2020-07-08,Distribution Center/Business,,Adams,2020-05-27,,6,,,,,6,0,,,,,,,
Food King,2020-06-16,Grocery Store,,Weld,2020-05-27,,14,,,,,14,0,,,,,,,
St Andrews Village (23G126): May 2020,2020-07-06,Healthcare - Assisted Living,,Arapahoe,2020-05-27,5,3,,1,,,8,1,,,,,,,
Village at Belmar (23Z408): May 2020,2020-07-27,Healthcare - Assisted Living,,Jefferson,2020-05-27,2,4,,,,,6,0,,,,,,,
Aspen Trail Construction Site,2020-07-24,Construction Site,,El Paso,2020-05-28,,11,,,,,11,0,,,,,,,
Carniceria Leonela,2020-07-15,Grocery Store,,El Paso,2020-05-28,,6,,,,,6,0,,,,,,,
King Soopers #19,2020-06-18,Grocery Store,,Denver,2020-05-28,,3,,,,,3,0,,,,,,,
Learn Thru Play Children's Kiddieland,2020-07-28,Child Care Center,,Otero,2020-05-28,,1,1,,,,2,0,,,,,,,
Pollution Solutions,2020-06-23,Office/Indoor Workspace,,Larimer,2020-05-28,,5,,,,,5,0,,,,,,,
ProHealth: May 2020,2020-07-07,Food Manufacturing/Packaging,,Yuma,2020-05-28,,24,,,,,24,0,,,,,,,
ABM - Facility Services,2020-06-23,Construction Company/Contractor,Maintenance Services,Arapahoe,2020-05-29,,11,,,,,11,0,,,,,,,
Brush Meat Processors: May 2020,2020-06-26,Meat Processing/Packaging,Meat Processing,Morgan,2020-05-29,,5,,,,,5,0,,,,,,,
The Standard at Fort Collins,2020-07-26,Construction Site,Construction Site,Larimer,2020-05-29,,11,,,,,11,0,,,,,,,
University Park Care Center (020650): May 2020,2020-07-29,Healthcare - Nursing Facility,,Pueblo,2020-05-29,37,22,,9,1,,59,10,,,,,,,
1111 Camino Del Rio Hotel Construction Site,2020-06-29,Construction Site,,La Plata,2020-05-30,,5,,,,,5,0,,,,,,,
Aurora ICE Processing Center: May 2020,2021-02-18,"Correctional, Other",,Adams,2020-05-30,144,124,,,,,268,0,,,,,,,
Thrivecare Cody LLC (23Q263): May 2020,2020-06-24,Healthcare - Assisted Living,,Jefferson,2020-05-30,2,2,,,,,4,0,,,,,,,
Universal Forest Products,2020-07-08,Construction Company/Contractor,Lumber/Construction,Boulder,2020-05-31,,5,,,,,5,0,,,,,,,
Diaz Tile,2020-06-24,Construction Company/Contractor,Tile Company,Montrose,2020-06-01,,6,,,,,6,0,,,,,,,
Mission Foods: June 2020,2020-06-25,Food Manufacturing/Packaging,,Pueblo,2020-06-01,,6,,,,,6,0,,,,,,,
United States Postal Distribution Center,2021-01-13,Distribution Center/Business,,Denver,2020-06-01,,14,,,,,14,0,,,,,,,
Chick-Fil-A- Parker Rd #1304: June 2020,2020-08-25,Restaurant - Fast Food,,Arapahoe,2020-06-02,,9,,,,,9,0,,,,,,,
EMF (Electronics Metal Finishing) Corporation,2020-06-21,Non-Food Manufacturer/Warehouse,,El Paso,2020-06-02,,2,,,1,,2,1,,,,,,,
Hi-Land Potato Inc,2020-06-26,Food Manufacturing/Packaging,,Rio Grande,2020-06-02,,22,,,,,22,0,,,,,,,
King Soopers #114,2021-04-27,Grocery Store,,Adams,2020-06-02,,82,,,,,82,0,,,,,,,
Northglenn Heights Assisted Living Community (230430): June 2020,2020-07-15,Healthcare - Assisted Living,,Adams,2020-06-02,5,6,,,,,11,0,,,,,,,
Panda Express,2020-06-26,Restaurant - Fast Food,,Pueblo,2020-06-02,,5,,,,,5,0,,,,,,,
Aguirre Law Group,2020-06-22,Office/Indoor Workspace,,Adams,2020-06-03,,5,,,,,5,0,,,,,,,
Rocky Mountain Gutters,2020-06-23,Home Maintenance Services,Gutter Service,Garfield,2020-06-03,,6,,,,,6,0,,,,,,,
Alpine Waste and Recycling (GFL Environmental),2020-07-07,Other,Waste Management,Adams,2020-06-04,,4,,,,,4,0,,,,,,,
Federal Correctional Institution - Englewood: June 2020,2020-09-04,Federal Prison,,Colorado,2020-06-04,11,1,,,,,12,0,,,,,,,
Bank of the West - Thornton,2020-07-01,Office/Indoor Workspace,,Adams,2020-06-05,,3,,,,,3,0,,,,,,,
Fedex Ground - Henderson: June 2020,2020-08-25,Distribution Center/Business,Warehouse Distribution,Adams,2020-06-05,,30,,,,,30,0,,,,,,,
City Market- Eagle #434 ,2020-07-14,Grocery Store,,Eagle,2020-06-08,,4,,,,,4,0,,,,,,,
City Market- El Jebel #433 ,2020-07-14,Grocery Store,,Eagle,2020-06-08,,12,,,,,12,0,,,,,,,
Next 1 Labs,2020-07-08,Other,THC Laboratory,Adams,2020-06-08,,6,,,,,6,0,,,,,,,
Vi at Highlands Ranch: March 2020,2020-06-17,Healthcare - Independent Living Facility,,Douglas,2020-06-09,10,8,,4,,,18,4,,,,,,,
Bespoke Uptown Project,2020-07-13,Construction Site,Construction Site,Denver,2020-06-10,,10,,,,,10,0,,,,,,,
Chateau Des Mons Care and Assisted Living (230411): June 2020,2020-07-07,Healthcare - Assisted Living,,Arapahoe,2020-06-10,7,6,,,,,13,0,,,,,,,
"Cornerstone Production Company, Inc",2020-06-29,Farm/Dairy,,Yuma,2020-06-11,,3,,,,,3,0,,,,,,,
Friday Health Plans: June 2020,2020-07-17,Office/Indoor Workspace,,Alamosa,2020-06-11,,13,,,,,13,0,,,,,,,
Loveland Steam Laundry,2020-07-13,Other,Laundry Services,Larimer,2020-06-11,,8,,,,,8,0,,,,,,,
San Luis Care Center (021020): June 2020,2020-07-30,Healthcare - Nursing Facility,,Alamosa,2020-06-11,20,19,,4,,,39,4,,,,,,,
Workforce Management,2020-07-22,Office/Indoor Workspace,,El Paso,2020-06-11,,2,,,,,2,0,,,,,,,
Idaho Pacific Colorado Corp: May 2020,2020-07-22,Food Warehouse,,Rio Grande,2020-06-12,,13,,,1,,13,1,,,,,,,
Plastics Inc,2020-06-30,Distribution Center/Business,Pipe distributor,Adams,2020-06-12,,3,,,,,3,0,,,,,,,
Victory Outreach Transitional Housing,2020-05-29,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),,Weld,2020-06-12,10,2,,,,,12,0,,,,,,,
Colorado Counter Tops,2020-06-30,Non-Food Manufacturer/Warehouse,,Arapahoe,2020-06-13,,5,,,1,,5,1,,,,,,,
Core-Mark International Inc.,2020-07-07,Distribution Center/Business,,Adams,2020-06-13,,11,,,,,11,0,,,,,,,
Pasta Jay's: June 2020,2020-07-13,Restaurant - Sit Down,,Boulder,2020-06-13,,5,,,,,5,0,,,,,,,
Blanca Potato Factory: June 2020,2020-07-17,Food Warehouse,,Costilla,2020-06-15,,3,,,,,3,0,,,,,,,
Chick-fil-A- 470 & Kipling #1110,2020-07-10,Restaurant - Fast Food,,Jefferson,2020-06-15,,4,,,,,4,0,,,,,,,
King Soopers #127: June 2020,2020-07-13,Grocery Store,,Jefferson,2020-06-15,,3,,,,,3,0,,,,,,,
University of Denver-Employees,2020-07-16,College/University,,Denver,2020-06-15,,7,,,,,7,0,,,,,,,
995 Regent Drive Construction Site,2020-05-22,Construction Site,,Boulder,2020-06-16,,4,,,,,4,0,,,,,,,
Advance Auto Parts #6563,2020-07-22,Retailer,,El Paso,2020-06-16,,2,,,,,2,0,,,,,,,
Jack in the Box,2020-07-22,Restaurant - Fast Food,,Arapahoe,2020-06-16,,4,,,,,4,0,,,,,,,
"Organizers Unlimited, Inc. DBA Closet Factory: June 2020",2020-07-01,Non-Food Manufacturer/Warehouse,,Douglas,2020-06-16,,6,,,,,6,0,,,,,,,
Advantage Treatment Center- Alamosa: June 2020,2020-07-22,"Correctional, Other",Community correctional facility,Alamosa,2020-06-17,17,14,,,,,31,0,,,,,,,
Cam Solar,2020-06-17,Construction Company/Contractor,Electrical Contractor,Denver,2020-06-17,,3,,,,,3,0,,,,,,,
Redbird Farms: June 2020,2020-07-21,Meat Processing/Packaging,Poultry Processing Center,Arapahoe,2020-06-17,,16,,,,,16,0,,,,,,,
Eagle Lake Overnight Camp,2020-08-18,Overnight Camp,,El Paso,2020-06-18,,23,,,,,23,0,,,,,,,
Uptown Health Care Center (020452): June 2020,2020-07-20,Healthcare - Nursing Facility,,Denver,2020-06-18,9,2,,1,,,11,1,,,,,,,
Mezzaluna Aspen,2020-07-21,Restaurant - Sit Down,,Pitkin,2020-06-19,,5,,,,,5,0,,,,,,,
Fuzzy's Taco Shop,2020-08-05,Restaurant - Sit Down,,El Paso,2020-06-20,,5,,,,,5,0,,,,,,,
Modern Painting Services,2020-10-12,Home Maintenance Services,House Painting Service,El Paso,2020-06-20,,7,,,,,7,0,,,,,,,
"701 E 5th St. Rifle, CO Construction Site",2020-08-11,Construction Site,,Garfield,2020-06-22,,16,,,,,16,0,,,,,,,
Adolescent Social Gathering- Telluride,2020-07-27,Social Gathering,,San Miguel,2020-06-22,,,2,,,,2,0,,,,,,,
Colorado Rapids: July 2020,2020-09-09,Adult Sports Club/Team,Professional Sports Team,Colorado,2020-06-22,,2,,,,,2,0,,,,,,,
Exceptional Stays Cleaning Company,2020-07-27,Home Maintenance Services,Cleaning Service,San Miguel,2020-06-23,,3,,,,,3,0,,,,,,,
Genesis Hospitality Corporation: June 2020,2020-07-21,Non-Food Manufacturer/Warehouse,,Larimer,2020-06-23,,3,,,,,3,0,,,,,,,
Lake Loveland Dermatology (Ideal Dermatology): June 2020,2020-07-21,Healthcare - Outpatient,Dermatologist Office,Larimer,2020-06-23,,7,,,,,7,0,,,,,,,
River Run Construction Site,2020-07-21,Construction Site,,Grand,2020-06-23,,3,,,,,3,0,,,,,,,
The Inn at Aspen,2020-07-18,Hotel/Lodge/Resort,,Pitkin,2020-06-23,,5,,,,,5,0,,,,,,,
Players Club,2020-07-21,Indoor Entertainment/Rec,Restaurant/Adult Entertainment,Adams,2020-06-24,,5,,,,,5,0,,,,,,,
Bella's Beauty Salon,2020-08-05,Personal Services,Beauty Salon,El Paso,2020-06-25,,3,,,,,3,0,,,,,,,
"Bennett, Adams Pioneer Solar Farm",2020-08-04,Construction Site,Construction Site,Adams,2020-06-25,,8,,,,,8,0,,,,,,,
Burris Optics,2020-07-20,Non-Food Manufacturer/Warehouse,,Weld,2020-06-25,,3,,,,,3,0,,,,,,,
Hops N Drops,2020-08-11,Restaurant - Sit Down,,El Paso,2020-06-25,,4,,,,,4,0,,,,,,,
Hospice Del Valle,2020-07-16,Healthcare - Hospice,,Alamosa,2020-06-25,,3,,,,,3,0,,,,,,,
Midwest Barricade Co,2020-07-28,Materials Supplier,Traffic safety equipment supplier company,El Paso,2020-06-25,,6,,,,,6,0,,,,,,,
Tommyknocker Tavern,2020-08-03,Bar/Tavern/Brewery,,Mineral,2020-06-25,,,2,,,,2,0,,,,,,,
Centennial Health Care Center (020317): June 2020,2020-08-09,Healthcare - Nursing Facility,,Weld,2020-06-26,15,9,,,,,24,0,,,,,,,
Denver Mattress Co,2020-07-21,Retailer,,Denver,2020-06-26,,7,,,,,7,0,,,,,,,
Boulder Country Club,2020-08-18,Other,Country club,Boulder,2020-06-28,,6,,,,,6,0,,,,,,,
Brookside Assisted Living (230514): June 2020,2020-08-17,Healthcare - Assisted Living,,El Paso,2020-06-28,12,7,,,,,19,0,,,,,,,
ABC Central Child Development Centers,2020-07-27,Child Care Center,,Weld,2020-06-29,,1,1,,,,2,0,,,,,,,
Independent Financial- Denver,2020-07-16,Office/Indoor Workspace,,Denver,2020-06-29,,3,,,,,3,0,,,,,,,
Top Golf- Centennial,2020-12-19,Indoor Entertainment/Rec,Recreation Facility and Restaurant,Arapahoe,2020-06-29,,54,,,,,54,0,,,,,,,
Brown Brothers Asphalt & Concrete,2020-08-17,Construction Company/Contractor,Asphalt & concrete company,Arapahoe,2020-06-30,,7,,,,,7,0,,,,,,,
Hearth Restaurant and Pub,2020-08-06,Restaurant - Sit Down,,Weld,2020-06-30,,7,,,,,7,0,,,,,,,
Iron Mountain Hot Springs,2020-08-04,Hotel/Lodge/Resort,Hot Spring/Spa,Garfield,2020-06-30,,2,,,,,2,0,,,,,,,
Lipman Colorado LLC,2020-06-30,Food Distribution,Produce Repack Warehouse/Distribution,Denver,2020-06-30,,4,,,,,4,0,,,,,,,
McDonald's- Lamar (Main St),2020-07-30,Restaurant - Fast Food,,Prowers,2020-06-30,,7,,,,,7,0,,,,,,,
Origin Hotel Westminster Construction Site,2020-06-04,Construction Site,,Jefferson,2020-06-30,,2,,,,,2,0,,,,,,,
Pueblo Police Department- Administrative Offices,2020-08-05,Law Enforcement Administration,,Pueblo,2020-06-30,,9,,,,,9,0,,,,,,,
Pueblo Viejo Family Mexican Restaurant,2020-07-31,Restaurant - Sit Down,,Larimer,2020-06-30,,5,,,,,5,0,,,,,,,
White House Pizza: June 2020,2020-07-28,Restaurant - Sit Down,,Garfield,2020-06-30,,3,,,,,3,0,,,,,,,
Colorado Rockies: August 2020,2020-09-08,Adult Sports Club/Team,Professional Sports Team,Colorado,2020-07-02,,5,,,,,5,0,,,,,,,
Greenways Landscape Services,2020-07-28,Home Maintenance Services,Landscaping Service,Adams,2020-07-02,,11,,,,,11,0,,,,,,,
Innovative Dental,2020-07-28,Healthcare - Dental,Dental Office,Summit,2020-07-02,,2,,,,,2,0,,,,,,,
Kip's Grill and Cantina - Creede,2020-08-18,Restaurant - Sit Down,,Mineral,2020-07-02,,6,,,,,6,0,,,,,,,
JBS Summer Internship Program,2020-08-03,Meat Processing/Packaging,,Weld,2020-07-03,,10,,,,,10,0,,,,,,,
Chick-fil-A- Wadsworth at 80th #2721,2020-08-17,Restaurant - Fast Food,,Jefferson,2020-07-05,,2,,,,,2,0,,,,,,,
Arps LLC/Creede Hotel & Restaurant,2020-08-03,Hotel/Lodge/Resort,,Mineral,2020-07-06,,2,,,,,2,0,,,,,,,
Fresh Harvest: June 2020,2020-07-22,Food Warehouse,,Saguache,2020-07-06,,4,,,,,4,0,,,,,,,
Medallion Post Acute Rehabilitation (020582): July 2020,2020-09-08,Healthcare - Nursing Facility,Rehab and Senior Living,El Paso,2020-07-06,8,27,,3,,,35,3,,,,,,,
Tile Art Granite Fabrication Shop,2020-07-25,Construction Company/Contractor,,La Plata,2020-07-06,,2,,,,,2,0,,,,,,,
Colorado OBGYN Partners dba The Women's Health Group,2020-08-05,Healthcare - Outpatient,Women's Health Clinic,Adams,2020-07-07,,6,,,,,6,0,,,,,,,
Colorado Pac Co,2020-07-28,Food Distribution,Produce Wholesale Warehouse,Denver,2020-07-07,,6,,,,,6,0,,,,,,,
