cutoff,block.mape,block.mape.0,block.mape.last
310,0.0475171246346325,0.020159046179402,0.0201660059220924
311,0.0463787603493514,0.0196449364713266,0.0196938319800199
312,0.0447223117118324,0.0189338477535915,0.0190153283685073
313,0.0449731024772133,0.0196796584328276,0.0196797151721509
314,0.0464381608078832,0.0211418383467648,0.0211302742091074
315,0.0463081398221887,0.0214383405064642,0.0213747194755882
316,0.0472032571454475,0.0225811502093644,0.0224849544197933
317,0.0412152125311782,0.0210162053178824,0.0208907956544271
318,0.037541067663992,0.019060674665,0.0189774155955102
319,0.0331662020196362,0.0181900973121576,0.0181548035663499
320,0.0309742698828408,0.0179574173672864,0.0178939667691475
321,0.0289554289326369,0.0180136509323968,0.0179427325802206
322,0.0276225233499031,0.0179749191066946,0.0179529960545193
323,0.0266288462453086,0.0177182213838474,0.0176250187846692
324,0.0293658907547049,0.0179519361789039,0.017914417824221
325,0.0294882509126174,0.0181034315261847,0.0180368737741572
326,0.0301735654216099,0.0185850713502821,0.0185233694139285
327,0.030093443946074,0.0193083168887173,0.01919841058429
328,0.0323000703208782,0.020826879539225,0.0208230930538763
329,0.0326354321093902,0.0212736218863214,0.0212745474127985
330,0.0339316031119492,0.022640635102369,0.0225952392638259
331,0.0350071222403391,0.0235104914090147,0.023378419589774
332,0.041507945430744,0.0212699780317704,0.0212679002545609
333,0.0401000742558381,0.0198866689228883,0.0198645092334262
334,0.0388724607183981,0.020294474409005,0.0200534581039506
335,0.038465502164761,0.0198926064369471,0.0198276925845396
