,Importance (%)
Vaccine_allocation_phase._Correctional_Staff,0.0017276734957099064
Proof_of_residency_requirement_for_vaccination,0.0017186118705834403
F_DISABL,0.0016495011264885842
Report_Indigenous_COVID.19_deaths,0.001559451225310284
EPL_AGE17,0.001458144910860115
MP_MUNIT,0.0014496024200761268
Second_COVID.19_hardship_limitation_start,0.0014389782254747695
EP_AGE17,0.0014383778593819515
Expanded_eligibility_to_high.risk_individuals_in_preventative_quarantine,0.0014381518130113483
EP_POV,0.0014327331841795968
Vaccine_allocation_phase._Higher_Education_Employees,0.0014312745454221978
EPL_MUNIT,0.0014174935593592312
SPL_THEME2,0.0014073214574990788
Report_COVID.19_cases_by_race.ethnicity,0.0013770085016517836
Variant...BA.2.75.2,0.001209921355111924
Home_delivery_of_take.home_medication_by_opioid_treatment_programs,0.0011970627073817684
Penalty_for_failure_to_comply_with_vaccine_distribution_requirements,0.0011025303853942489
Report_COVID.19_hospitalizations_by_race,0.0010998913470918713
No_state_unemployment_waiting_period_prior_to_pandemic._or_date_waiting_period_waived_not_found,0.0010986313795423059
F_GROUPQ,0.0010875168069444865
COVID.19_is_not_an_acceptable_reason_to_request_application_for_mail.in_ballot_unless_sick_or_exposed_.as_of_September_16._2020.,0.0010721671940277647
X2020_Q1_SNAP_ABAWD_Time_Limit_Waiver,0.0010711649707129318
F_TOTAL,0.0010706475710479566
EP_AGE65,0.0010706475710479566
State_of_emergency_lifted,0.0010622163000055692
Face_mask_mandate_enforced_by_fines,0.001059386473957004
Extended_the_amount_of_time_an_individual_can_be_on_unemployment_insurance,0.0010535625894799816
F_THEME3,0.0010396194224788406
Second_Eviction_Hearing_Ban_End,0.0010093064666315465
Types_of_workers_eligible_for_workers._compensation_expansion,0.0007365457664106655
Reopened_gyms_.x2.,0.0007329045047934548
Use_of_telemedicine_for_schedule_II.V_prescriptions,0.0007241712262632808
negativeTestsPeopleAntibody,0.0007205299646460701
Religious_gatherings_exempt_without_clear_social_distance_mandate.,0.0007101318164153146
Expanded_scope_of_practice_of_certain_health_providers_to_administer_vaccines,0.0007093054039518934
EPL_AGE65,0.0007093054039518934
Different_Minimum_Wage_for_Smaller_Businesses,0.0007093054039518934
