"fips","county","state","r.lm","predicted.lm","r.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","tau.hat","predicted.grf.future.0","predicted.grf.future.last","D.r.lm","D.r.slm","D.tau.hat","B.D.r.lm","B.D.r.slm","B.D.tau.hat"
18119,"Owen","Indiana",-0.0841012599393947,4.25547826688283,0,4.84418708645859,"2021-02-27",403,4.27468002104443,-0.0696563920720658,4.37103720982145,4.35659234195413,-0.0161430496932249,0,-0.0084198447358271,-1,0,-1
18119,"Owen","Indiana",-0.0759267056044228,4.2367734416232,0,4.76826038085416,"2021-02-28",404,4.16555719044736,-0.0679377558903907,4.30068503933546,4.29269608962143,0.0081745543349719,0,0.0017186361816751,1,0,1
18119,"Owen","Indiana",-0.072988360168893,4.18435349950302,0,4.69527202068527,"2021-03-01",405,4.03802613163188,-0.0680690215422585,4.22370820851609,4.21878886988946,0.0029383454355298,0,-0.000131265651867801,1,0,-1
18119,"Owen","Indiana",-0.0801515038440125,4.05405998993317,0,4.61512051684126,"2021-03-02",406,3.90916177314711,-0.0716573419975598,4.12201328470479,4.11351912285834,-0.0071631436751195,0,-0.0035883204553013,-1,0,-1
18119,"Owen","Indiana",-0.0902311621139783,3.89327121992944,0,4.52488935472729,"2021-03-03",407,3.80029304148484,-0.0787221715792512,3.98534314420725,3.97383415367253,-0.0100796582699658,0,-0.0070648295816914,-1,0,-1
18119,"Owen","Indiana",-0.0923733201310156,3.78590279367916,0,4.43251603459627,"2021-03-04",408,3.68530163276605,-0.0798841942624202,3.88581580062793,3.87332667475933,-0.00214215801703729,0,-0.00116202268316901,-1,0,-1
18119,"Owen","Indiana",-0.085006904805096,3.7524607961555,0,4.34750912979117,"2021-03-05",409,3.55534806148941,-0.0740469245804057,3.84014063795302,3.82918065772833,0.0073664153259196,0,0.00583726968201451,1,0,1
18119,"Owen","Indiana",-0.0728291087467521,3.76487625981716,0,4.27468002104443,"2021-03-06",410,3.42936825862885,-0.0703562185009634,3.78465938178346,3.78218649153769,0.0121777960583439,0,0.0036907060794423,1,0,1
18119,"Owen","Indiana",-0.109122830597053,3.40169737626799,0,4.16555719044736,"2021-03-07",411,3.41538201665411,-0.0879476686998277,3.57109867144581,3.54992350954857,-0.0362937218503009,0,-0.0175914501988643,-1,0,-1
18119,"Owen","Indiana",-0.127531058815496,3.1453087199234,0,4.03802613163188,"2021-03-08",412,3.43398720448515,-0.0934125515243095,3.41825677825288,3.38413827096171,-0.018408228218443,0,-0.00546488282448179,-1,0,-1
